YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1924,-4.50,-6.03,-0.43,4.98,9.21,17.06,20.04,20.06,14.66,11.48,4.15,-3.82,-2.48,4.59,19.05,10.10,7.81
1925,-6.01,-0.79,2.12,6.99,9.55,19.07,20.08,20.96,16.96,6.08,3.50,-2.73,-3.54,6.22,20.04,8.85,7.89
1926,-4.07,-5.75,-2.84,1.63,10.15,15.21,20.07,20.49,16.30,9.57,4.04,-3.88,-4.18,2.98,18.59,9.97,6.84
1927,-5.22,-1.60,2.35,5.98,11.80,15.56,20.37,18.15,18.09,12.67,5.84,-1.04,-3.57,6.71,18.03,12.20,8.34
1928,-3.48,-3.86,-0.94,4.11,11.24,16.60,20.92,21.84,14.99,11.71,4.98,0.70,-2.79,4.80,19.79,10.56,8.09
1929,-4.93,-5.46,3.40,6.47,11.68,17.70,999.90,18.75,17.29,9.70,3.60,-2.60,-3.23,7.18,18.85,10.20,8.25
1930,-4.10,-1.60,-1.10,5.25,12.35,18.70,20.50,20.40,18.29,10.75,5.95,-1.51,-2.77,5.50,19.87,11.66,8.57
1931,-3.61,-2.71,0.29,7.29,13.09,18.84,22.39,21.24,19.14,13.14,8.78,1.94,-2.61,6.89,20.82,13.69,9.70
1932,2.84,-0.41,-1.96,4.34,11.74,18.14,19.44,20.94,17.53,11.94,3.04,0.08,1.46,4.71,19.51,10.84,9.13
1933,1.43,-2.57,-0.62,7.13,13.27,19.48,22.03,20.43,18.02,10.23,1.22,-2.72,-0.35,6.59,20.65,9.82,9.18
1934,-2.52,-11.32,-1.92,5.93,13.73,19.83,22.08,19.38,18.73,10.18,6.33,-2.63,-5.52,5.91,20.43,11.75,8.14
1935,-4.57,-4.63,2.31,4.97,9.67,17.51,23.12,21.22,15.32,10.87,5.07,-4.28,-3.94,5.65,20.62,10.42,8.19
1936,-4.97,-7.53,1.67,3.97,11.87,18.51,21.77,20.92,17.42,10.87,1.67,0.96,-5.59,5.84,20.40,9.99,7.66
1937,0.17,-1.88,-2.33,6.12,12.82,18.42,21.62,22.92,16.26,8.86,4.07,-2.29,-0.25,5.54,20.99,9.73,9.00
1938,-4.23,-1.99,3.21,7.46,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,-2.84,8.50,999.90,999.90,999.90
1939,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1940,-8.50,-4.76,-3.21,4.76,12.70,17.85,21.12,20.13,15.14,8.22,3.48,-0.01,-5.70,4.75,19.70,8.95,6.92
